Evaluation took:
  42.202 seconds of real time
  42.461852 seconds of total run time (34.305675 user, 8.156177 system)
  [ Run times consist of 0.418 seconds GC time, and 42.044 seconds non-GC time. ]
  100.62% CPU
  129,710,136,447 processor cycles
  2,478,721,072 bytes consed


Number of samples:   4236
Sample interval:     0.001 seconds
Total sampling time: 4.236 seconds
Number of cycles:    0
Sampled threads:
 #<SB-THREAD:THREAD "Swank Sentinel" RUNNING {1002D05593}>
 #<SB-THREAD:THREAD "control-thread" RUNNING {10030978A3}>
 #<SB-THREAD:THREAD "swank-indentation-cache-thread" RUNNING {1003098173}>
 #<SB-THREAD:THREAD "auto-flush-thread" RUNNING {100310FDA3}>
 #<SB-THREAD:THREAD "repl-thread" RUNNING {100310FFA3}>

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
  54     17   0.4    181   4.3   2497  58.9        -  DAFT::WRITE-ACTOR-DATA
  55     17   0.4     67   1.6   2514  59.3        -  DAFT::DRAW-ACTOR-COLLISION-MASK
  56     17   0.4     17   0.4   2531  59.7        -  NTHCDR
  57     17   0.4     17   0.4   2548  60.2        -  INTEGER-LENGTH
  58     16   0.4    231   5.5   2564  60.5        -  IN-WORLD-P
  59     16   0.4     39   0.9   2580  60.9        -  (SETF DAFT::PER-ACTOR-DATA-POS)
  60     16   0.4     28   0.7   2596  61.3        -  (LABELS SB-KERNEL::FLOAT-AND-SCALE :IN SB-KERNEL::FLOAT-RATIO)
  61     16   0.4     16   0.4   2612  61.7        -  (SB-IMPL::OPTIMIZED-DATA-VECTOR-SET SINGLE-FLOAT)
  62     15   0.4   2320  54.8   2627  62.0        -  (LAMBDA (#:G11 ACTOR-KIND) :IN DAFT::UPDATE-ACTOR-KINDS)
  63     15   0.4     32   0.8   2642  62.4        -  DAFT::%ROT
  64     15   0.4     27   0.6   2657  62.7        -  REDUCE
  65     14   0.3    590  13.9   2671  63.1        -  DAFT::RUN-COLLISION-CHECKS
  66     14   0.3    100   2.4   2685  63.4        -  SB-IMPL::GETHASH3
  67     14   0.3     60   1.4   2699  63.7        -  CFFI::FIND-TYPE-PARSER
  68     14   0.3     31   0.7   2713  64.0        -  DO-WALL
  69     14   0.3     14   0.3   2727  64.4        -  SB-KERNEL:%COERCE-CALLABLE-TO-FUN
  70     14   0.3     14   0.3   2741  64.7        -  SB-KERNEL:TWO-ARG-+
  71     14   0.3     14   0.3   2755  65.0        -  (LAMBDA (SB-PCL::.ARG0. SB-INT:&MORE SB-PCL::.MORE-CONTEXT. SB-PCL::.MORE-COUNT.) :IN "/home/christophe/src/sbcl-release-dir-20170530-aobhhg1yU/sbcl-1.3.18/src/pcl/dlisp3.fasl")
  72     13   0.3     23   0.5   2768  65.3        -  CL-OPENGL-BINDINGS:BIND-FRAMEBUFFER
  73     13   0.3     13   0.3   2781  65.7        -  SB-KERNEL:SCALE-SINGLE-FLOAT
  74     12   0.3    338   8.0   2793  65.9        -  CFFI::PARSE-TYPE
  75     12   0.3     12   0.3   2805  66.2        -  (LABELS SB-IMPL::EQUAL-AUX :IN EQUAL)
  76     12   0.3     12   0.3   2817  66.5        -  (SB-IMPL::OPTIMIZED-DATA-VECTOR-REF T)
  77     11   0.3    854  20.2   2828  66.8        -  DAFT::RUN-ALL-KIND-COLLISION-CHECKS
  78     11   0.3     11   0.3   2839  67.0        -  SB-KERNEL:HAIRY-DATA-VECTOR-REF
  79     11   0.3     11   0.3   2850  67.3        -  (LAMBDA (SB-KERNEL::CACHE SB-KERNEL::OBJECT) :IN SB-KERNEL::CACHED-TYPEP)
  80     11   0.3     11   0.3   2861  67.5        -  SB-IMPL::SLOW-HAIRY-DATA-VECTOR-SET
  81     11   0.3     11   0.3   2872  67.8        -  %CEPL.TYPES:%MAKE-C-ARRAY
  82     11   0.3     11   0.3   2883  68.1        -  (SETF DAFT::PER-ACTOR-DATA-ANIM-FRAME)
  83     11   0.3     11   0.3   2894  68.3        -  SB-C:RETURN-MULTIPLE
  84     11   0.3     11   0.3   2905  68.6        -  KEYWORDP
  85     10   0.2     52   1.2   2915  68.8        -  CFFI::%FOREIGN-ENUM-VALUE
  86     10   0.2     39   0.9   2925  69.1        -  CEPL.CONTEXT::SET-SAMPLER-BOUND
  87     10   0.2     13   0.3   2935  69.3        -  CL-OPENGL-BINDINGS:UNIFORM-1I
  88     10   0.2     12   0.3   2945  69.5        -  CEPL.BLENDING::LOOP-ENABLING-ATTACHMENTS
  89     10   0.2     10   0.2   2955  69.8        -  (LABELS #:|expired1103| :IN SPAWN)
  90      9   0.2     68   1.6   2964  70.0        -  DAFT::ROTATE-ACTOR-STATE
  91      9   0.2     10   0.2   2973  70.2        -  "foreign function __select"
  92      9   0.2     10   0.2   2982  70.4        -  (LABELS SB-IMPL::SXHASH-RECURSE :IN SXHASH)
  93      9   0.2      9   0.2   2991  70.6        -  (LAMBDA (SB-PCL::.ARG0. SB-PCL::.ARG1.) :IN "/home/christophe/src/sbcl-release-dir-20170530-aobhhg1yU/sbcl-1.3.18/src/pcl/dlisp3.fasl")
  94      9   0.2      9   0.2   3000  70.8        -  (SETF DAFT::PER-ACTOR-DATA-ROT)
  95      9   0.2      9   0.2   3009  71.0        -  SB-PCL::FIND-CLASS-FROM-CELL
  96      9   0.2      9   0.2   3018  71.2        -  FLOAT
  97      8   0.2    260   6.1   3026  71.4        -  MAKE-C-ARRAY-FROM-POINTER
  98      8   0.2     15   0.4   3034  71.6        -  (SETF SCALE)
  99      8   0.2      8   0.2   3042  71.8        -  SB-C::CHECK-DS-LIST
 100      8   0.2      8   0.2   3050  72.0        -  SB-KERNEL:%UNARY-TRUNCATE
 101      7   0.2    208   4.9   3057  72.2        -  (SB-PCL::FAST-METHOD MAKE-INSTANCE (CLASS))
 102      7   0.2     47   1.1   3064  72.3        -  (SB-PCL::FAST-METHOD SHARED-INITIALIZE (SB-PCL::SLOT-OBJECT T))
 103      7   0.2     43   1.0   3071  72.5        -  DAFT::DRAW-ACTORS-OPAQUE
 104      7   0.2     29   0.7   3078  72.7        -  (SETF DRAW-FBO-BOUND)
 105      7   0.2     18   0.4   3085  72.8        -  CL-OPENGL-BINDINGS:MAP-BUFFER
 106      7   0.2      9   0.2   3092  73.0        -  (SB-PCL::EMF SB-MOP:CLASS-SLOTS)
 107      7   0.2      7   0.2   3099  73.2        -  (SETF DAFT::PER-ACTOR-DATA-SCALE)
 108      7   0.2      7   0.2   3106  73.3        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS:V-TYPE-EQ (V-TYPE V-TYPE))
 109      7   0.2      7   0.2   3113  73.5        -  SB-KERNEL:TWO-ARG-XOR
 110      6   0.1     21   0.5   3119  73.6        -  VARJO.INTERNALS::TRY-TYPE-SPEC->TYPE
 111      6   0.1     17   0.4   3125  73.8        -  CEPL.FBOS::ATTACHMENT-VIEWPORT-ALLOWING-T
 112      6   0.1     15   0.4   3131  73.9        -  (SETF VAO-BOUND)
 113      6   0.1     13   0.3   3137  74.1        -  CEPL.C-ARRAYS::CHECK-C-ARRAY-DIMENSIONS
 114      6   0.1      9   0.2   3143  74.2        -  CL-OPENGL-BINDINGS:UNIFORM-2FV
 115      6   0.1      9   0.2   3149  74.3        -  (LAMBDA (SB-PCL::.ARG0.))
 116      6   0.1      8   0.2   3155  74.5        -  SB-PCL::DEFAULT-INITARGS
 117      6   0.1      6   0.1   3161  74.6        -  SB-PCL::PLIST-KEYS
 118      6   0.1      6   0.1   3167  74.8        -  "#<code object [0] {23107BEF}>"
 119      6   0.1      6   0.1   3173  74.9        -  SB-KERNEL:SEQUENCEP
 120      6   0.1      6   0.1   3179  75.0        -  "foreign function sb_gettimeofday"
 121      6   0.1      6   0.1   3185  75.2        -  "foreign function pthread_sigmask"
 122      6   0.1      6   0.1   3191  75.3        -  (SB-PCL::FAST-METHOD GET-TYPED-FROM-FOREIGN ((EQL (QUOTE :INT))))
 123      6   0.1      6   0.1   3197  75.5        -  SB-KERNEL:TWO-ARG-/
 124      6   0.1      6   0.1   3203  75.6        -  (SB-IMPL::OPTIMIZED-DATA-VECTOR-SET T)
 125      6   0.1      6   0.1   3209  75.8        -  (LAMBDA (SB-PCL::.ARG0. SB-PCL::.ARG1. SB-INT:&MORE SB-PCL::.MORE-CONTEXT. SB-PCL::.MORE-COUNT.) :IN "/home/christophe/src/sbcl-release-dir-20170530-aobhhg1yU/sbcl-1.3.18/src/pcl/dlisp3.fasl")
 126      6   0.1      6   0.1   3215  75.9        -  SB-KERNEL::SINGLE-FROM-BITS
 127      5   0.1    293   6.9   3220  76.0        -  WALL-GREEN-MAIN
 128      5   0.1     97   2.3   3225  76.1        -  (SB-PCL::EMF INITIALIZE-INSTANCE)
 129      5   0.1      9   0.2   3230  76.3        -  SB-PCL::ENSURE-CACHED-CTOR
 130      5   0.1      9   0.2   3235  76.4        -  SB-KERNEL:%MAP-FOR-EFFECT-ARITY-1
 131      5   0.1      7   0.2   3240  76.5        -  CL-OPENGL-BINDINGS:UNIFORM-1F
 132      5   0.1      6   0.1   3245  76.6        -  CL-OPENGL-BINDINGS:BIND-SAMPLER
 133      5   0.1      5   0.1   3250  76.7        -  SB-IMPL::PACKED-INFO-VALUE-INDEX
 134      5   0.1      5   0.1   3255  76.8        -  (SB-PCL::FAST-METHOD GET-TYPED-FROM-FOREIGN ((EQL (QUOTE DAFT::COLLISION-INFO))))
 135      5   0.1      5   0.1   3260  77.0        -  "foreign function recvmsg"
 136      5   0.1      5   0.1   3265  77.1        -  (LAMBDA (SB-PCL::NV SB-KERNEL:INSTANCE) :IN SB-PCL::MAKE-OPTIMIZED-STD-WRITER-METHOD-FUNCTION)
 137      5   0.1      5   0.1   3270  77.2        -  BLENDING-PARAMS
 138      5   0.1      5   0.1   3275  77.3        -  "foreign function glGetError"
 139      5   0.1      5   0.1   3280  77.4        -  SB-KERNEL:STRING=*
 140      5   0.1      5   0.1   3285  77.5        -  (FLET SB-IMPL::FAST-NTHCDR :IN NTHCDR)
 141      5   0.1      5   0.1   3290  77.7        -  (LAMBDA (SB-PCL::.ARG0.))
 142      5   0.1      5   0.1   3295  77.8        -  (LAMBDA (SB-PCL::.ARG0. SB-PCL::.ARG1.) :IN "/home/christophe/src/sbcl-release-dir-20170530-aobhhg1yU/sbcl-1.3.18/src/pcl/braid.fasl")
 143      5   0.1      5   0.1   3300  77.9        -  (SB-PCL::EMF MAKE-INSTANCE)
 144      4   0.1    167   3.9   3304  78.0        -  DAFT::DRAW-ACTOR-KINDS
 145      4   0.1     75   1.8   3308  78.1        -  CFFI:FOREIGN-ENUM-VALUE
 146      4   0.1     48   1.1   3312  78.2        -  (LAMBDA NIL :IN SPAWN)
 147      4   0.1     39   0.9   3316  78.3        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS:TYPE-SPEC->TYPE (T))
 148      4   0.1     26   0.6   3320  78.4        -  SB-PCL::CHECK-MI-INITARGS
 149      4   0.1     19   0.4   3324  78.5        -  CLEAR-FBO
 150      4   0.1     14   0.3   3328  78.6        -  (LAMBDA (SB-PCL::|.P0.|) :IN "/home/baggers/.cache/common-lisp/sbcl-1.3.18-linux-x64/home/baggers/quicklisp/local-projects/daft/src/gpu-types.fasl")
 151      4   0.1     11   0.3   3332  78.7        -  (SB-PCL::FAST-METHOD ALLOCATE-INSTANCE (STANDARD-CLASS))
 152      4   0.1      9   0.2   3336  78.8        -  SB-IMPL::GET-INFO-VALUE
 153      4   0.1      9   0.2   3340  78.8        -  (LABELS SB-KERNEL::FLOATIT :IN SB-KERNEL::FLOAT-RATIO)
 154      4   0.1      5   0.1   3344  78.9        -  (SB-PCL::EMF SB-MOP:CLASS-PROTOTYPE)
 155      4   0.1      5   0.1   3348  79.0        -  (FLET #:CLEANUP-FUN-566 :IN DAFT::CHECK-COLLISIONS-WITH)
 156      4   0.1      5   0.1   3352  79.1        -  SB-IMPL::%FIND-SYMBOL
 157      4   0.1      5   0.1   3356  79.2        -  "foreign function read"
 158      4   0.1      5   0.1   3360  79.3        -  CEPL.FBOS::%FBO-DRAW-BUFFERS
 159      4   0.1      4   0.1   3364  79.4        -  *
 160      4   0.1      4   0.1   3368  79.5        -  "foreign function clock_gettime"
 161      4   0.1      4   0.1   3372  79.6        -  CEPL.C-ARRAYS::AREF-C*-1D
 162      4   0.1      4   0.1   3376  79.7        -  SB-PCL::GET-CTOR
 163      4   0.1      4   0.1   3380  79.8        -  "#<code object [0] {231938EF}>"
 164      4   0.1      4   0.1   3384  79.9        -  SDL2-FFI.FUNCTIONS:SDL-GET-WINDOW-SIZE
 165      4   0.1      4   0.1   3388  80.0        -  CURRENT-VIEWPORT
 166      4   0.1      4   0.1   3392  80.1        -  CL-OPENGL-BINDINGS:BIND-VERTEX-ARRAY
 167      4   0.1      4   0.1   3396  80.2        -  SB-PCL::%MAKE-STANDARD-INSTANCE
 168      4   0.1      4   0.1   3400  80.3        -  (SB-PCL::FAST-METHOD ELEMENT-TYPE (%CEPL.TYPES:GPU-ARRAY-BB))
 169      3   0.1    285   6.7   3403  80.3        -  (SB-PCL::FAST-METHOD CFFI:FOREIGN-TYPE-SIZE (T))
 170      3   0.1     88   2.1   3406  80.4        -  (LAMBDA (#:G808 ACTOR-KIND) :IN DAFT::ROTATE-ACTOR-KIND-STATE)
 171      3   0.1     88   2.1   3409  80.5        -  SUBSEQ-G-RAW
 172      3   0.1     61   1.4   3412  80.5        -  CFFI::ENSURE-PARSED-BASE-TYPE
 173      3   0.1     58   1.4   3415  80.6        -  (LAMBDA NIL :IN SPARKLE-SETUP)
 174      3   0.1     52   1.2   3418  80.7        -  CEPL.GPU-ARRAYS.BUFFER-BACKED::MAKE-GPU-ARRAY-SHARE-DATA
 175      3   0.1     36   0.8   3421  80.8        -  DAFT::ACCUM-ACTORS-TRANSPARENT
 176      3   0.1     29   0.7   3424  80.8        -  CL-OPENGL-BINDINGS:DRAW-ARRAYS-INSTANCED
 177      3   0.1     27   0.6   3427  80.9        -  CEPL.BLENDING::%LOOP-SETTING-PER-ATTACHMENT-BLEND-PARAMS
 178      3   0.1     20   0.5   3430  81.0        -  CL-OPENGL-BINDINGS:UNMAP-BUFFER
 179      3   0.1     17   0.4   3433  81.0        -  SB-PCL::MAYBE-CALL-CTOR
 180      3   0.1     12   0.3   3436  81.1        -  SB-KERNEL:FIND-CLASSOID-CELL
 181      3   0.1     11   0.3   3439  81.2        -  (LAMBDA NIL :IN SPAWN)
 182      3   0.1      7   0.2   3442  81.3        -  (SB-PCL::FAST-METHOD DAFT::UPDATE (DEAD-WHITE))
 183      3   0.1      7   0.2   3445  81.3        -  (LAMBDA (CFFI::NAME) :IN "/home/baggers/quicklisp/local-projects/the-works/cffi/src/types.lisp")
 184      3   0.1      6   0.1   3448  81.4        -  CLRHASH
 185      3   0.1      6   0.1   3451  81.5        -  CL-OPENGL-BINDINGS:ACTIVE-TEXTURE
 186      3   0.1      4   0.1   3454  81.5        -  DAFT::COMPOSITE-ACTORS
 187      3   0.1      3   0.1   3457  81.6        -  (FLET #:CLEANUP-FUN-325 :IN DAFT::DRAW-ACTOR-KINDS)
 188      3   0.1      3   0.1   3460  81.7        -  SB-SYS:SAP+
 189      3   0.1      3   0.1   3463  81.8        -  (SB-PCL::FAST-METHOD CFFI:FOREIGN-TYPE-SIZE (CFFI::FOREIGN-STRUCT-TYPE))
 190      3   0.1      3   0.1   3466  81.8        -  SB-KERNEL:UB64-BASH-FILL
 191      3   0.1      3   0.1   3469  81.9        -  "#<code object [0] {2318A91F}>"
 192      3   0.1      3   0.1   3472  82.0        -  ALEXANDRIA.0.DEV:ENSURE-LIST
